date,portfolio_id,p05,p25,median,p75,p95
2027-01-14 05:24:34.285714286,Balanced,348614.01299181365,384530.05074412597,405844.3233736963,428327.14753503643,461090.58053491043
2027-01-15 16:11:25.714285714,Balanced,348796.5336204655,385116.79289720405,406134.26892970374,428704.12133726064,461995.6544262162
2027-01-17 02:58:17.142857144,Balanced,348188.22022007685,385328.86815477186,406384.65075489343,429087.374222162,463025.41413559194
2027-01-18 13:45:08.571428572,Balanced,348212.5020683738,385416.33348402276,406654.90626154776,429344.7765449572,463762.9823416667
2027-01-20 00:32:00.000000000,Balanced,347903.3340693869,385335.61702381744,406913.27937840216,429575.1627801277,464372.78124303534
2027-01-21 11:18:51.428571430,Balanced,348250.89625576814,385697.6236085801,407033.2713564264,430218.6843057149,465518.1509834999
2027-01-22 22:05:42.857142858,Balanced,347911.73681908165,385582.6522105935,407563.2729640069,430895.9156272981,465839.9125240249
2027-01-24 08:52:34.285714286,Balanced,347551.3029768399,386069.9612916915,408081.43270234455,431749.31165017333,464761.4689191906
2027-01-25 19:39:25.714285714,Balanced,347356.8382793687,386215.7411364993,408417.99733035965,432032.1632487405,466146.562331725
2027-01-27 06:26:17.142857144,Balanced,347206.24043868954,386396.1138199363,408948.43189073936,432270.8879690288,466979.0459494939
2027-01-28 17:13:08.571428572,Balanced,347725.2055575746,386437.16299646936,408837.58124337636,432875.14114921784,467554.34268177056
2027-01-30 04:00:00.000000000,Balanced,347619.0081241415,386638.56535080355,409202.1801336175,433694.06993513415,468345.34519242117
2027-01-31 14:46:51.428571430,Balanced,346565.90646219125,386796.3812720929,409886.6419737949,433632.8665996407,468111.34191429877
2027-02-02 01:33:42.857142858,Balanced,347596.1646946301,386748.09638051305,410272.66410687566,434193.08435255836,469199.52908815426
2027-02-03 12:20:34.285714286,Balanced,347019.6114863451,387140.17007311806,410643.06524238706,434888.55536888517,470058.936760035
2027-02-04 23:07:25.714285716,Balanced,346646.06444832654,387421.0338153904,410632.1417485981,435019.95971534913,470676.09778965556
2027-02-06 09:54:17.142857144,Balanced,346130.1416653982,387537.32626282267,410988.46646860085,435320.0736606213,471277.8120819067
2027-02-07 20:41:08.571428572,Balanced,345542.81512876245,387459.94021711533,411132.22484725865,435840.850132672,471573.2552239943
2027-02-09 07:28:00.000000000,Balanced,345901.9220238473,387887.7289138,411541.869324986,436245.2803667925,471988.12061630504
2027-02-10 18:14:51.428571430,Balanced,345611.19629672414,388411.95381642744,412081.2710924112,436550.6983254014,472936.5547275689
2027-02-12 05:01:42.857142858,Balanced,345614.8197908973,388453.6723904407,412473.3517559988,437220.34766813356,473032.23607783474
2027-02-13 15:48:34.285714286,Balanced,345638.1876154631,388492.66442470567,412761.5834126591,437654.50471651705,474183.1794876555
2027-02-15 02:35:25.714285716,Balanced,346154.5016460224,388720.2897282235,413162.08800614986,438206.8646193936,474266.4954320363
2027-02-16 13:22:17.142857144,Balanced,346331.30719794973,388857.46468371747,413532.8637265045,438280.13010565913,474595.17257499305
2027-02-18 00:09:08.571428572,Balanced,346775.59074394667,388628.5249250947,413757.48813205725,438672.23388994025,475437.94426515716
2027-02-19 10:56:00.000000000,Balanced,346863.6636699916,388750.8145680504,413795.07823513413,438965.14195521286,476107.2965015429
2027-02-20 21:42:51.428571430,Balanced,346688.0680031539,388966.9121701848,414006.8461230992,439373.72964395,476298.4140961335
2027-02-22 08:29:42.857142858,Balanced,345836.65728171624,389144.4338371666,414518.7585771197,439556.57552034926,477797.2396727885
2027-02-23 19:16:34.285714286,Balanced,346676.1524447419,389429.7801121174,414848.1113851435,439752.53621175024,478275.990588259
2027-02-25 06:03:25.714285716,Balanced,346268.15028213384,389544.3259561326,414832.00179820345,440357.33813924494,478636.14407713304
2027-02-26 16:50:17.142857144,Balanced,347535.490985291,389733.09322839027,415334.66355015343,440814.166730475,479193.1549037729
2027-02-28 03:37:08.571428572,Balanced,347259.3552267351,389650.7207356734,415537.0695423088,440954.84084031737,479303.23880720674
2027-03-01 14:24:00.000000000,Balanced,347355.537326307,389749.5402719352,415697.53509776504,441494.74484810623,480424.8205494667
2027-03-03 01:10:51.428571430,Balanced,346679.6337852853,390132.73710519535,416428.0105811155,441645.63722412346,481330.94147084665
2027-03-04 11:57:42.857142858,Balanced,347630.2903973652,390168.986039407,416502.6082737306,442243.6454411938,482397.90231522004
2027-03-05 22:44:34.285714286,Balanced,347351.31667228765,390169.50292867044,416635.6400863861,442656.3283413752,482005.2804237203
2027-03-07 09:31:25.714285716,Balanced,347375.6742766215,390402.8547843774,416925.6804003315,443014.54759347776,482568.5901842643
2027-03-08 20:18:17.142857144,Balanced,347085.5950482619,390203.24593094067,417455.4273713633,443486.9021898393,483633.4750420462
2027-03-10 07:05:08.571428572,Balanced,346880.6595738689,390494.0302608243,418101.95374521206,443734.94411613804,484268.42031128233
2027-03-11 17:52:00.000000000,Balanced,345718.3431983828,390625.8201897722,418035.4227135971,444521.3725822792,484362.22321005806
2027-03-13 04:38:51.428571430,Balanced,345746.26595117635,390471.6456238957,418526.6557344186,444637.36128508864,484109.56952452153
2027-03-14 15:25:42.857142858,Balanced,345645.6174984191,390712.69637206866,418245.4434939006,445058.75705729006,485475.2779182355
2027-03-16 02:12:34.285714286,Balanced,346010.8614418249,391265.7216555267,419129.512269208,445285.5587119915,485460.5606047116
2027-03-17 12:59:25.714285716,Balanced,345592.6561908436,391436.80836060655,419497.08849180664,445471.6498488015,486046.6782338843
2027-03-18 23:46:17.142857144,Balanced,345519.3762593229,391617.3128113735,419521.8712186375,445900.63365302846,486851.9137358728
2027-03-20 10:33:08.571428572,Balanced,346202.49496564094,391180.03549904225,419737.1419682917,446670.1825675447,487567.0586514496
2027-03-21 21:20:00.000000000,Balanced,345669.8524764143,391075.0866859539,420033.2174677996,447552.77551048994,488321.39943117084
2027-03-23 08:06:51.428571430,Balanced,346075.6271578428,391356.48789525684,420370.61466306465,447861.0346463313,489245.1517602055
2027-03-24 18:53:42.857142858,Balanced,345584.09605693346,391694.2631986916,420922.71772682015,448268.9308202647,489199.124819378
2027-03-26 05:40:34.285714286,Balanced,346216.9357745388,391908.1904794865,421231.7266661704,448195.15522849915,490053.9866820936
2027-03-27 16:27:25.714285716,Balanced,345254.61100913986,392210.1188819113,421316.7367943422,449181.7131157572,491165.4519884162
2027-03-29 03:14:17.142857144,Balanced,345429.13677096285,392425.6045227887,421442.1059592968,449905.53724001016,491016.6427684455
2027-03-30 14:01:08.571428572,Balanced,346348.63566507946,392688.45329469256,422200.8304180207,449699.16969748354,491926.4500729809
2027-04-01 00:48:00.000000000,Balanced,345586.71974016033,393322.7645062704,422332.2494282385,450401.055679159,492393.00890270324
2027-04-02 11:34:51.428571428,Balanced,345627.88500959496,393318.99316221045,422808.62729987106,450980.8220208021,492419.02783501474
2027-04-03 22:21:42.857142860,Balanced,346854.08207445475,393572.46590788243,423269.00701461505,451182.61873231316,493862.1050132731
2027-04-05 09:08:34.285714288,Balanced,346541.47062759637,393725.21564113034,423133.98744200636,452125.71140887745,494057.7789948345
2027-04-06 19:55:25.714285716,Balanced,346845.5783318237,393806.75221191184,423396.6433755228,452308.5200885306,495115.4504122637
2027-04-08 06:42:17.142857144,Balanced,346474.59135611623,394017.55327277805,423553.13412552036,452864.17770663055,495578.2897457618
2027-04-09 17:29:08.571428572,Balanced,345889.9912006896,394438.5384736892,424400.4460686771,453381.91859482095,496328.18995649414
2027-04-11 04:16:00.000000000,Balanced,346408.47642990906,394621.8157365599,424527.0082053329,453651.196721025,497042.5025471526
2027-04-12 15:02:51.428571428,Balanced,346917.74384163937,394385.12728290405,424354.0463055074,453880.51562561747,497623.785744178
2027-04-14 01:49:42.857142860,Balanced,347288.1133661691,394593.36276341334,424561.6017156576,454741.02037715545,498163.2568134116
2027-04-15 12:36:34.285714288,Balanced,346283.99599471345,395024.0981156883,425020.0828659781,454966.4548138994,498674.09505356674
2027-04-16 23:23:25.714285716,Balanced,346461.1275503152,395307.52954605134,425239.57059565897,455340.29014149634,498562.9987084697
2027-04-18 10:10:17.142857144,Balanced,346738.9268152262,395590.02514533093,425162.44674313045,455554.94866445113,499377.6989820695
2027-04-19 20:57:08.571428572,Balanced,345993.8754926299,395819.13054939534,425655.4916862098,455870.7244635224,499905.6761067409
2027-04-21 07:44:00.000000000,Balanced,345872.2036274223,395777.5549320774,426241.239138365,456571.1005801717,500596.94741985784
2027-04-22 18:30:51.428571428,Balanced,346533.5566790733,396339.045232065,426101.0257219988,457117.42576213554,501626.69139662205
2027-04-24 05:17:42.857142860,Balanced,346804.1632950047,396863.83559614175,426107.4807159074,457610.4582502771,503008.73485034524
2027-04-25 16:04:34.285714288,Balanced,346904.39953264885,396825.10770464875,426414.6320137171,457979.16026974475,503292.61110555846
2027-04-27 02:51:25.714285716,Balanced,347220.33351021615,397360.95172706567,426827.8282688203,458484.70515134453,502791.33678017167
2027-04-28 13:38:17.142857144,Balanced,347155.99511119106,397493.5979326365,426750.4474731015,458969.2303261454,503404.7485406238
2027-04-30 00:25:08.571428572,Balanced,347529.6392189072,397717.19210251456,426932.15617023484,459316.42642539786,503855.6404193473
2027-05-01 11:12:00.000000000,Balanced,347498.5942434752,397480.090323542,427676.67129437835,460046.9528193853,505211.1829501789
2027-05-02 21:58:51.428571428,Balanced,347294.68194515345,398035.13703052694,427990.11263584346,460049.21574968577,506018.4092910689
2027-05-04 08:45:42.857142860,Balanced,347635.510429707,397850.4230750309,427939.01670734887,460575.7307674161,507003.91771518515
2027-05-05 19:32:34.285714288,Balanced,346927.75069085514,397656.2546872199,428253.58047646424,460896.02235379483,508330.9055686503
2027-05-07 06:19:25.714285716,Balanced,346888.222885669,397902.8627019654,428498.84993799066,461139.0843138845,509378.56993866956
