date,ticker,adjusted_price,volume
2023-11-09,RY.TO,106.07535552978516,2340900
2023-11-10,RY.TO,106.56812286376953,2896200
2023-11-13,RY.TO,106.65937805175781,2619300
2023-11-14,RY.TO,108.72175598144531,3707700
2023-11-15,RY.TO,109.40617370605469,7469100
2023-11-16,RY.TO,109.28755187988281,1898800
2023-11-17,RY.TO,109.95368957519531,3046400
2023-11-20,RY.TO,109.99021911621094,3865400
2023-11-21,RY.TO,109.30579376220703,2518800
2023-11-22,RY.TO,108.5666275024414,4038000
2023-11-23,RY.TO,108.28373718261719,1232500
2023-11-24,RY.TO,108.55748748779297,1499400
2023-11-27,RY.TO,107.8000717163086,3332500
2023-11-28,RY.TO,107.0609130859375,5890900
2023-11-29,RY.TO,108.42061614990234,2681000
2023-11-30,RY.TO,111.8974609375,5597700
2023-12-01,RY.TO,112.18948364257812,3287900
2023-12-04,RY.TO,112.47235107421875,3027700
2023-12-05,RY.TO,113.15678405761719,2444500
2023-12-06,RY.TO,113.00163269042969,2357300
2023-12-07,RY.TO,113.39403533935547,2068200
2023-12-08,RY.TO,114.2883529663086,5144200
2023-12-11,RY.TO,114.49822235107422,1605200
2023-12-12,RY.TO,114.552978515625,2604800
2023-12-13,RY.TO,117.37276458740234,5317400
2023-12-14,RY.TO,119.41690063476562,14418300
2023-12-15,RY.TO,119.90054321289062,14092400
2023-12-18,RY.TO,120.82222747802734,2925800
2023-12-19,RY.TO,121.716552734375,2755700
2023-12-20,RY.TO,120.75836944580078,4079300
2023-12-21,RY.TO,121.451904296875,1809600
2023-12-22,RY.TO,121.98116302490234,2965400
2023-12-27,RY.TO,122.4922103881836,2668400
2023-12-28,RY.TO,122.31880950927734,1631200
2023-12-29,RY.TO,122.28231811523438,2371300
2024-01-02,RY.TO,122.23670196533203,8608500
2024-01-03,RY.TO,121.8990478515625,5352100
2024-01-04,RY.TO,122.07243347167969,2113300
2024-01-05,RY.TO,122.85724639892578,3482400
2024-01-08,RY.TO,123.46864318847656,4469600
2024-01-09,RY.TO,123.49601745605469,6545200
2024-01-10,RY.TO,122.86636352539062,3238500
2024-01-11,RY.TO,121.66180419921875,3157900
2024-01-12,RY.TO,120.63970947265625,3466600
2024-01-15,RY.TO,120.86786651611328,802000
2024-01-16,RY.TO,121.187255859375,11017200
2024-01-17,RY.TO,120.2016830444336,8537200
2024-01-18,RY.TO,120.93173217773438,6707500
2024-01-19,RY.TO,122.10895538330078,11983200
2024-01-22,RY.TO,121.74391174316406,14845300
2024-01-23,RY.TO,122.04507446289062,8797300
2024-01-24,RY.TO,122.02659606933594,20283500
2024-01-25,RY.TO,122.02659606933594,10162800
2024-01-26,RY.TO,122.62596130371094,12877200
2024-01-29,RY.TO,122.36779022216797,9073200
2024-01-30,RY.TO,122.71817016601562,3158800
2024-01-31,RY.TO,120.98469543457031,4254000
2024-02-01,RY.TO,121.24286651611328,3265300
2024-02-02,RY.TO,120.993896484375,4227100
2024-02-05,RY.TO,120.35765838623047,8736200
2024-02-06,RY.TO,120.54208374023438,4276300
2024-02-07,RY.TO,120.46831512451172,2609000
2024-02-08,RY.TO,120.05338287353516,3932900
2024-02-09,RY.TO,120.80025482177734,1634800
2024-02-12,RY.TO,121.23362731933594,4821900
2024-02-13,RY.TO,118.52273559570312,2795800
2024-02-14,RY.TO,120.83715057373047,5680600
2024-02-15,RY.TO,121.65779113769531,4310500
2024-02-16,RY.TO,121.65779113769531,4547100
